Subject ID,Subject,Subject type,Interaction type,Object ID,Object,Object type,Disease
5664,PSEN2,gene/protein,increases_quantity of,351,Amyloid beta peptide,gene/protein,Alzheimer disease
5663,PSEN1,gene/protein,affects_processing of,23385,NCSTN,gene/protein,Alzheimer disease
5663,PSEN1,gene/protein,affects_glucosylation of,23385,NCSTN,gene/protein,Alzheimer disease
5663,PSEN1,gene/protein,interacts (colocalizes) with,23385,NCSTN,gene/protein,Alzheimer disease
5663,PSEN1,gene/protein,affects_expression of,3309,HSPA5,gene/protein,Alzheimer disease
5663,PSEN1,gene/protein,affects_expression of,1649,DDIT3,gene/protein,Alzheimer disease
466,Gamma-secretase complex,complex/PPI,increases_quantity of,351,Amyloid beta peptide (40),gene/protein,Alzheimer disease
466,Gamma-secretase complex,complex/PPI,increases_quantity of,351,Amyloid beta peptide (42),gene/protein,Alzheimer disease
23385,NCSTN,gene/protein,increases_activity of,51107,APH1A,gene/protein,Alzheimer disease
104300,Alzheimer disease,disease,decreases_activity of,5524,PPP2R4,gene/protein,Alzheimer disease
GO:0050667,homocysteine metabolic process,process,affects_activity of,104300,Alzheimer disease,disease,Alzheimer disease
GO:0050667,homocysteine metabolic process,process,affects_quantity of,4137,MAPT-phos,protein modification,Alzheimer disease
,CAPN,gene/protein,affects_quantity of,2932,GSK3B (truncated),protein modification,Alzheimer disease
C12269,N-Methyl-D-aspartic acid,drug/chemical compound,affects_quantity of,2932,GSK3B (truncated),protein modification,Alzheimer disease
C00076,Ca2+,drug/chemical compound,affects_quantity of,2932,GSK3B (truncated),protein modification,Alzheimer disease
D08174,Memantine,drug/chemical compound,decreases_activity of,104300,Alzheimer disease,disease,Alzheimer disease
D08174,Memantine,drug/chemical compound,affects_activity of,2932,GSK3B,gene/protein,Alzheimer disease
104300,Alzheimer disease,disease,increases_quantity of,4744,NEFH-mod,protein modification,Alzheimer disease
104300,Alzheimer disease,disease,increases_quantity of,4744,NEFH,gene/protein,Alzheimer disease
104300,Alzheimer disease,disease,increases_quantity of,5300,PIN1,gene/protein,Alzheimer disease
GO:0008286,insulin receptor signaling pathway,process,affects_activity of,104300,Alzheimer disease,disease,Alzheimer disease
104300,Alzheimer disease,disease,decreases_quantity of,,Insulin receptor,complex/PPI,Alzheimer disease
104300,Alzheimer disease,disease,decreases_activity of,,protein tyrosine kinase,gene/protein,Alzheimer disease
,Insulin,complex/PPI,affects_activity of,104300,Alzheimer disease,disease,Alzheimer disease
C00031,Glucose,drug/chemical compound,affects_quantity of,351,APP,gene/protein,Alzheimer disease
,Insulin,complex/PPI,affects_quantity of,351,APP,gene/protein,Alzheimer disease
C00031,Glucose,drug/chemical compound,increases_quantity of,,Insulin,complex/PPI,Alzheimer disease
348,APOE,gene/protein,affects_quantity of,351,APP,gene/protein,Alzheimer disease
351,APP (KPI-domain-containing),gene/protein,affects_activity of,104300,Alzheimer disease,disease,Alzheimer disease
466,Gamma-secretase complex,complex/PPI,affects_activity of,104300,Alzheimer disease,disease,Alzheimer disease
466,Gamma-secretase complex,complex/PPI,affects_processing of,351,APP,gene/protein,Alzheimer disease
351,Amyloid beta peptide (42),gene/protein,increases_quantity of,MP:0003329,amyloid beta deposits,phenotype,Alzheimer disease
682,BSG,gene/protein,interacts (colocalizes) with,466,Gamma-secretase complex,complex/PPI,Alzheimer disease
2932,GSK3B,gene/protein,affects_activity of,466,Gamma-secretase complex,complex/PPI,Alzheimer disease
5337,PLD1,gene/protein,affects_activity of,466,Gamma-secretase complex,complex/PPI,Alzheimer disease
10972,TMED10,gene/protein,affects_activity of,466,Gamma-secretase complex,complex/PPI,Alzheimer disease
2932,GSK3B,gene/protein,increases_phosphorylation of,4137,MAPT,gene/protein,Alzheimer disease
4137,MAPT-phos,protein modification,increases_quantity of,MP:0003214,neurofibrillary tangles,phenotype,Alzheimer disease
MP:0003214,neurofibrillary tangles,phenotype,increases_activity of,104300,Alzheimer disease,disease,Alzheimer disease
2932,GSK3B,gene/protein,interacts (colocalizes) with,5663,PSEN1,gene/protein,Alzheimer disease
4137,MAPT,gene/protein,interacts (colocalizes) with,5663,PSEN1,gene/protein,Alzheimer disease
2932,GSK3B,gene/protein,affects_activity of,5663,PSEN1,gene/protein,Alzheimer disease
2932,GSK3B,gene/protein,affects_activity of,GO:0060070,canonical Wnt signaling pathway,process,Alzheimer disease
2931,GSK3A,gene/protein,affects_activity of,104300,Alzheimer disease,disease,Alzheimer disease
C15473,Lithium,drug/chemical compound,decreases_activity of,2931,GSK3A,gene/protein,Alzheimer disease
C15473,Lithium,drug/chemical compound,decreases_expression of,351,Amyloid beta peptide,gene/protein,Alzheimer disease
C15473,Lithium,drug/chemical compound,decreases_quantity of,351,Amyloid beta peptide,gene/protein,Alzheimer disease
C15473,Lithium,drug/chemical compound,decreases_activity of,2932,GSK3B,gene/protein,Alzheimer disease
C15473,Lithium,drug/chemical compound,affects_processing of,351,APP,gene/protein,Alzheimer disease
466,Gamma-secretase complex,complex/PPI,affects_quantity of,351,Amyloid beta peptide,gene/protein,Alzheimer disease
5663,PSEN1,gene/protein,interacts (colocalizes) with,1499,CTNNB1,gene/protein,Alzheimer disease
5663,PSEN1,gene/protein,affects_quantity of,1499,CTNNB1,gene/protein,Alzheimer disease
1499,CTNNB1,gene/protein,affects_quantity of,351,Amyloid beta peptide,gene/protein,Alzheimer disease
2931,GSK3A,gene/protein,affects_processing of,351,APP,gene/protein,Alzheimer disease
2932,GSK3B,gene/protein,affects_processing of,351,APP,gene/protein,Alzheimer disease
2931,GSK3A,gene/protein,increases_quantity of,351,Amyloid beta peptide (40),gene/protein,Alzheimer disease
C17743,Bisdemethoxycurcumin,drug/chemical compound,increases_activity of,GO:0006909,phagocytosis,process,Alzheimer disease
C17743,Bisdemethoxycurcumin,drug/chemical compound,decreases_quantity of,351,Amyloid beta peptide,gene/protein,Alzheimer disease
C17743,Bisdemethoxycurcumin,drug/chemical compound,decreases_activity of,104300,Alzheimer disease,disease,Alzheimer disease
C17743,Bisdemethoxycurcumin,drug/chemical compound,increases_expression of,4248,MGAT3,gene/protein,Alzheimer disease
,,,none selected,,,,Alzheimer disease
1499,CTNNB1,gene/protein,interacts (colocalizes) with,2932,GSK3B,gene/protein,Alzheimer disease
5663,PSEN1,gene/protein,decreases_quantity of,1499,CTNNB1,gene/protein,Alzheimer disease
5663,PSEN1,gene/protein,decreases_activity of,GO:0060070,canonical Wnt signaling pathway,process,Alzheimer disease
5663,PSEN1,gene/protein,affects_phosphorylation of,1499,CTNNB1,gene/protein,Alzheimer disease
,presenilin deficiency,phenotype,affects_quantity of,1499,CTNNB1-phosSer45,protein modification,Alzheimer disease
GO:0060070,canonical Wnt signaling pathway,process,decreases_quantity of,1499,CTNNB1-phosSer33Ser37Thr41,protein modification,Alzheimer disease
GO:0060070,canonical Wnt signaling pathway,process,decreases_quantity of,1499,CTNNB1-phosSer45,protein modification,Alzheimer disease
2932,GSK3B,gene/protein,increases_phosphorylation of,1499,CTNNB1,gene/protein,Alzheimer disease
5663,PSEN1,gene/protein,increases_quantity of,1499,CTNNB1-phosSer33Ser37Thr41,protein modification,Alzheimer disease
,Uncharged thioflavin-T derivative,drug/chemical compound,interacts (colocalizes) with,351,Amyloid beta peptide,gene/protein,Alzheimer disease
1020,CDK5,gene/protein,affects_processing of,351,APP,gene/protein,Alzheimer disease
2932,GSK3B,gene/protein,affects_activity of,104300,Alzheimer disease,disease,Alzheimer disease
1020,CDK5,gene/protein,affects_activity of,104300,Alzheimer disease,disease,Alzheimer disease
C15473,Lithium,drug/chemical compound,affects_activity of,2932,GSK3B,gene/protein,Alzheimer disease
103029079,Roscovitine,drug/chemical compound,decreases_activity of,1020,CDK5,gene/protein,Alzheimer disease
103029079,Roscovitine,drug/chemical compound,increases_quantity of,351,Amyloid beta peptide,gene/protein,Alzheimer disease
1020,CDK5,gene/protein,affects_quantity of,351,Amyloid beta peptide,gene/protein,Alzheimer disease
,PS1/PS2-KO mouse,organism model,increases_activity of,MP:0002229,neurodegeneration,phenotype,Alzheimer disease
,PS1/PS2-KO mouse,organism model,decreases_activity of,GO:0007611,learning or memory,process,Alzheimer disease
,PS1/PS2-KO mouse,organism model,increases_quantity of,MP:0003329,amyloid beta deposits,phenotype,Alzheimer disease
,PS1/PS2-KO mouse,organism model,increases_activity of,MP:0002152,abnormal brain morphology,phenotype,Alzheimer disease
,PS1/PS2-KO mouse,organism model,increases_activity of,MP:0002183,gliosis,phenotype,Alzheimer disease
,PS1/PS2-KO mouse,organism model,increases_quantity of,MP:0004250,tau protein deposits,phenotype,Alzheimer disease
5663,PSEN1-mut,gene/protein mutant,increases_activity of,MP:0002229,neurodegeneration,phenotype,Alzheimer disease
5664,PSEN2-mut,gene/protein mutant,increases_activity of,MP:0002229,neurodegeneration,phenotype,Alzheimer disease
5663,PSEN1-mut,gene/protein mutant,affects_activity of,GO:0007611,learning or memory,process,Alzheimer disease
5664,PSEN2-mut,gene/protein mutant,affects_activity of,GO:0007611,learning or memory,process,Alzheimer disease
5663,PSEN1-mut,gene/protein mutant,increases_activity of,MP:0002152,abnormal brain morphology,phenotype,Alzheimer disease
5664,PSEN2-mut,gene/protein mutant,increases_activity of,MP:0002152,abnormal brain morphology,phenotype,Alzheimer disease
5663,PSEN1-mut,gene/protein mutant,increases_activity of,MP:0002183,gliosis,phenotype,Alzheimer disease
5664,PSEN2-mut,gene/protein mutant,increases_activity of,MP:0002183,gliosis,phenotype,Alzheimer disease
5663,PSEN1-mut,gene/protein mutant,affects_quantity of,MP:0004250,tau protein deposits,phenotype,Alzheimer disease
5664,PSEN2-mut,gene/protein mutant,affects_quantity of,MP:0004250,tau protein deposits,phenotype,Alzheimer disease
5663,PSEN1-mut,gene/protein mutant,affects_activity of,351,Amyloid beta peptide,gene/protein,Alzheimer disease
104300,Alzheimer disease,disease,increases_quantity of,MP:0004250,tau protein deposits,phenotype,Alzheimer disease
MP:0004250,tau protein deposits,phenotype,is localized in,GO:0005622,intracellular,cellular component,Alzheimer disease
MP:0003329,amyloid beta deposits,phenotype,is localized in,GO:0005576,extracellular region,cellular component,Alzheimer disease
104300,Alzheimer disease,disease,cooccurs with,MP:0003214,neurofibrillary tangles,phenotype,Alzheimer disease
MP:0003214,neurofibrillary tangles,phenotype,is localized in,GO:0030425,dendrite,cellular component,Alzheimer disease
4137,MAPT-phos,protein modification,increases_activity of,104300,Alzheimer disease,disease,Alzheimer disease
5663,PSEN1-mut,gene/protein mutant,increases_activity of,104300,Alzheimer disease,disease,Alzheimer disease
5664,PSEN2-mut,gene/protein mutant,increases_activity of,104300,Alzheimer disease,disease,Alzheimer disease
351,APP-mut,gene/protein mutant,increases_activity of,104300,Alzheimer disease,disease,Alzheimer disease
GO:0007568,aging,process,affects_quantity of,MP:0003329,amyloid beta deposits,phenotype,Alzheimer disease
GO:0007568,aging,process,affects_activity of,GO:0005739,mitochondrion,cellular component,Alzheimer disease
351,Amyloid beta peptide (42),gene/protein,affects_activity of,GO:0005739,mitochondrion,cellular component,Alzheimer disease
2534,FYN,gene/protein,interacts (colocalizes) with,4137,MAPT,gene/protein,Alzheimer disease
351,Amyloid beta peptide,gene/protein,decreases_activity of,,Mitochondrial respiratory chain complex IV,complex/PPI,Alzheimer disease
104300,Alzheimer disease,disease,increases_quantity of,351,Amyloid beta peptide,gene/protein,Alzheimer disease
MP:0004231,abnormal calcium ion homeostasis,phenotype,increases_activity of,104300,Alzheimer disease,disease,Alzheimer disease
5663,PSEN1-mut,gene/protein mutant,affects_activity of,,Calcium-release channel,complex/PPI,Alzheimer disease
351,Amyloid beta peptide,gene/protein,interacts (colocalizes) with,10105,PPIF,gene/protein,Alzheimer disease
351,APP,gene/protein,interacts (colocalizes) with,,"TOM complex, mitochondrial",complex/PPI,Alzheimer disease
351,APP,gene/protein,interacts (colocalizes) with,,"TIM complex, mitochondrial",complex/PPI,Alzheimer disease
104300,Alzheimer disease,disease,decreases_quantity of,GO:0030061,mitochondrial crista,cellular component,Alzheimer disease
104300,Alzheimer disease,disease,affects_activity of,GO:0042407,cristae formation,process,Alzheimer disease
5663,PSEN1-p.L286V,gene/protein mutant,affects_activity of,GO:0055074,calcium ion homeostasis,process,Alzheimer disease
5663,PSEN1-p.L286V,gene/protein mutant,increases_quantity of,351,Amyloid beta peptide,gene/protein,Alzheimer disease
5663,PSEN1,gene/protein,is localized in,GO:0005783,endoplasmic reticulum,cellular component,Alzheimer disease
6263,RYR3,gene/protein,interacts (colocalizes) with,5664,PSEN2,gene/protein,Alzheimer disease
5664,PSEN2-p.N141I,gene/protein mutant,increases_activity of,836,CASP3,gene/protein,Alzheimer disease
5664,PSEN2-p.N141I,gene/protein mutant,increases_activity of,6263,RYR3,gene/protein,Alzheimer disease
5664,PSEN2-p.N141I,gene/protein mutant,increases_activity of,,Calcium-release channel,complex/PPI,Alzheimer disease
C06939,Dantrolene,drug/chemical compound,decreases_activity of,6263,RYR3,gene/protein,Alzheimer disease
C06939,Dantrolene,drug/chemical compound,decreases_activity of,,Calcium-release channel,complex/PPI,Alzheimer disease
C06939,Dantrolene,drug/chemical compound,decreases_activity of,5664,PSEN2-p.N141I,gene/protein mutant,Alzheimer disease
C06939,Dantrolene,drug/chemical compound,decreases_activity of,GO:0070997,neuron death,process,Alzheimer disease
C06939,Dantrolene,drug/chemical compound,decreases_activity of,836,CASP3,gene/protein,Alzheimer disease
6263,RYR3,gene/protein,affects_activity of,836,CASP3,gene/protein,Alzheimer disease
C06939,Dantrolene,drug/chemical compound,decreases_activity of,GO:0006915,apoptotic process,process,Alzheimer disease
5664,PSEN2-p.N141I,gene/protein mutant,increases_quantity of,C00076,Ca2+,drug/chemical compound,Alzheimer disease
6263,RYR3,gene/protein,interacts (colocalizes) with,GO:0005783,endoplasmic reticulum,cellular component,Alzheimer disease
351,Amyloid beta peptide (42),gene/protein,interacts (colocalizes) with,351,Amyloid beta peptide (42),gene/protein,Alzheimer disease
351,Amyloid beta peptide (42),gene/protein,increases_activity of,GO:0042803,protein homodimerization activity,process,Alzheimer disease
,"Amyloid beta peptide (42, homodimer)",complex/PPI,decreases_activity of,,Mitochondrial respiratory chain complex IV,complex/PPI,Alzheimer disease
C00070,Cu2+,drug/chemical compound,affects_activity of,,"Amyloid beta peptide (42, homodimer)",complex/PPI,Alzheimer disease
351,Amyloid beta peptide,gene/protein,is localized in,BTO:0000142,brain,tissue/cell line,Alzheimer disease
351,Amyloid beta peptide,gene/protein,is localized in,GO:0005739,mitochondrion,cellular component,Alzheimer disease
C07185,Valproic acid,drug/chemical compound,affects_processing of,351,APP,gene/protein,Alzheimer disease
C15473,Lithium,drug/chemical compound,decreases_quantity of,351,Amyloid beta peptide (40),gene/protein,Alzheimer disease
C07185,Valproic acid,drug/chemical compound,decreases_quantity of,351,Amyloid beta peptide (40),gene/protein,Alzheimer disease
C15473,Lithium,drug/chemical compound,decreases_quantity of,MP:0003329,amyloid beta deposits,phenotype,Alzheimer disease
,LiCl,drug/chemical compound,increases_quantity of,351,Amyloid beta peptide,gene/protein,Alzheimer disease
,LiCl,drug/chemical compound,decreases_activity of,2932,GSK3B,gene/protein,Alzheimer disease
104300,Alzheimer disease,disease,increases_expression of,10371,SEMA3A,gene/protein,Alzheimer disease
10371,SEMA3A,gene/protein,is localized in,BTO:0003087,subiculum,tissue/cell line,Alzheimer disease
10371,SEMA3A,gene/protein,is localized in,BTO:0000601,hippocampus,tissue/cell line,Alzheimer disease
104300,Alzheimer disease,disease,affects transport of,10371,SEMA3A,gene/protein,Alzheimer disease
1020,CDK5,gene/protein,affects_phosphorylation of,1808,DPYSL2,gene/protein,Alzheimer disease
1808,DPYSL2,gene/protein,affects_phosphorylation of,1808,DPYSL2,gene/protein,Alzheimer disease
51107,APH1A,gene/protein,affects_quantity of,466,Gamma-secretase complex,complex/PPI,Alzheimer disease
51107,APH1A,gene/protein,affects_quantity of,351,Amyloid beta peptide,gene/protein,Alzheimer disease
2932,GSK3B,gene/protein,affects_phosphorylation of,1808,DPYSL2,gene/protein,Alzheimer disease
2932,GSK3B,gene/protein,affects_phosphorylation of,1809,DPYSL3,gene/protein,Alzheimer disease
2932,GSK3B,gene/protein,affects_activity of,1808,DPYSL2,gene/protein,Alzheimer disease
2932,GSK3B,gene/protein,affects_activity of,1809,DPYSL3,gene/protein,Alzheimer disease
1808,DPYSL2-p,protein modification,affects_activity of,GO:0007409,axonogenesis,process,Alzheimer disease
2932,GSK3B,gene/protein,increases_phosphorylation of,1808,DPYSL2,gene/protein,Alzheimer disease
2932,GSK3B,gene/protein,increases_phosphorylation of,1808,DPYSL2-Ser522,protein modification,Alzheimer disease
1808,DPYSL2-mut,gene/protein mutant,increases_activity of,MP:0002229,neurodegeneration,phenotype,Alzheimer disease
,HSP70,gene/protein,affects_activity of,4137,MAPT,gene/protein,Alzheimer disease
GO:0006950,response to stress,process,increases_expression of,,HSP70,gene/protein,Alzheimer disease
,HSP70,gene/protein,interacts (colocalizes) with,4137,MAPT,gene/protein,Alzheimer disease
,HSP70,gene/protein,affects_quantity of,4137,MAPT,gene/protein,Alzheimer disease
C10107,Myricetin,drug/chemical compound,decreases_activity of,,HSP70,gene/protein,Alzheimer disease
C00220,Methylene blue,drug/chemical compound,decreases_activity of,,HSP70,gene/protein,Alzheimer disease
5664,PSEN2-mut,gene/protein mutant,affects_activity of,,Calcium-release channel,complex/PPI,Alzheimer disease
348,APOE-mut,gene/protein mutant,increases_activity of,104300,Alzheimer disease,disease,Alzheimer disease
348,APOE-mut,gene/protein mutant,affects_quantity of,351,Amyloid beta peptide,gene/protein,Alzheimer disease
351,APP-mut,gene/protein mutant,increases_processing of,351,Amyloid beta peptide (42),gene/protein,Alzheimer disease
5663,PSEN1-mut,gene/protein mutant,increases_processing of,351,Amyloid beta peptide (42),gene/protein,Alzheimer disease
351,Amyloid beta peptide,gene/protein,affects_activity of,MP:0000604,amyloidosis,phenotype,Alzheimer disease
351,Amyloid beta peptide,gene/protein,affects_quantity of,MP:0003329,amyloid beta deposits,phenotype,Alzheimer disease
104300,Alzheimer disease,disease,increases_activity of,MP:0000604,amyloidosis,phenotype,Alzheimer disease
MP:0003329,amyloid beta deposits,phenotype,increases_activity of,MP:0002183,gliosis,phenotype,Alzheimer disease
10273,STUB1,gene/protein,interacts (colocalizes) with,,HSP70,gene/protein,Alzheimer disease
10273,STUB1,gene/protein,interacts (colocalizes) with,,HSP90,gene/protein,Alzheimer disease
,HSP90,gene/protein,decreases_activity of,3297,HSF1,gene/protein,Alzheimer disease
3297,HSF1-phos,protein modification,affects_expression of,,HSP70,gene/protein,Alzheimer disease
3297,HSF1-phos,protein modification,affects_expression of,3315,HSPB1,gene/protein,Alzheimer disease
104300,Alzheimer disease,disease,increases_quantity of,3315,HSPB1,gene/protein,Alzheimer disease
104300,Alzheimer disease,disease,increases_quantity of,,HSP70,gene/protein,Alzheimer disease
3309,HSPA5,gene/protein,interacts (colocalizes) with,351,APP,gene/protein,Alzheimer disease
3309,HSPA5,gene/protein,is localized in,GO:0005783,endoplasmic reticulum,cellular component,Alzheimer disease
10273,STUB1,gene/protein,interacts (colocalizes) with,351,APP,gene/protein,Alzheimer disease
26353,HSPB8,gene/protein,interacts (colocalizes) with,MP:0003329,amyloid beta deposits,phenotype,Alzheimer disease
26353,HSPB8,gene/protein,decreases_quantity of,MP:0003329,amyloid beta deposits,phenotype,Alzheimer disease
3315,HSPB1,gene/protein,interacts (colocalizes) with,MP:0003329,amyloid beta deposits,phenotype,Alzheimer disease
3315,HSPB1,gene/protein,decreases_quantity of,MP:0003329,amyloid beta deposits,phenotype,Alzheimer disease
3297,HSF1,gene/protein,increases_expression of,351,APP,gene/protein,Alzheimer disease
5663,PSEN1,gene/protein,increases_activity of,GO:0070842,aggresome assembly,process,Alzheimer disease
3315,HSPB1,gene/protein,decreases_quantity of,4137,MAPT-hyperphos,protein modification,Alzheimer disease
3315,HSPB1,gene/protein,interacts (colocalizes) with,4137,MAPT-hyperphos,protein modification,Alzheimer disease
3315,HSPB1,gene/protein,interacts (colocalizes) with,4137,MAPT,gene/protein,Alzheimer disease
3315,HSPB1,gene/protein,interacts (colocalizes) with,MP:0004250,tau protein deposits,phenotype,Alzheimer disease
3315,HSPB1,gene/protein,increases_phosphorylation of,4137,MAPT,gene/protein,Alzheimer disease
1410,CRYAB,gene/protein,decreases_quantity of,4137,MAPT-phos,protein modification,Alzheimer disease
1410,CRYAB,gene/protein,decreases_quantity of,2932,GSK3B-phos,protein modification,Alzheimer disease
4137,MAPT,gene/protein,interacts (colocalizes) with,,HSP70,gene/protein,Alzheimer disease
,HSP90,gene/protein,affects_quantity of,4137,MAPT-phosSer202Thr205,protein modification,Alzheimer disease
,HSP90,gene/protein,affects_quantity of,4137,MAPT-phosSer396Ser404,protein modification,Alzheimer disease
104300,Alzheimer disease,disease,increases_quantity of,207,AKT1,gene/protein,Alzheimer disease
207,AKT1,gene/protein,affects_expression of,10273,STUB1,gene/protein,Alzheimer disease
207,AKT1,gene/protein,increases_activity of,2011,MARK2,gene/protein,Alzheimer disease
207,AKT1,gene/protein,affects_phosphorylation of,4137,MAPT,gene/protein,Alzheimer disease
,HSP90,gene/protein,affects_quantity of,4137,MAPT,gene/protein,Alzheimer disease
,HSP70,gene/protein,interacts (colocalizes) with,GO:0005874,microtubule,cellular component,Alzheimer disease
10273,STUB1,gene/protein,affects_ubiquitination/sumoylation of,4137,MAPT,gene/protein,Alzheimer disease
10273,STUB1,gene/protein,affects_quantity of,4137,MAPT,gene/protein,Alzheimer disease
,HSP70,gene/protein,affects_ubiquitination/sumoylation of,4137,MAPT,gene/protein,Alzheimer disease
10273,STUB1,gene/protein,increases_quantity of,MP:0004250,tau protein deposits,phenotype,Alzheimer disease
C11222,Geldanamycin,drug/chemical compound,affects_quantity of,,HSP70,gene/protein,Alzheimer disease
,HSP70,gene/protein,decreases_quantity of,4137,MAPT (insoluble),gene/protein,Alzheimer disease
104300,Alzheimer disease,disease,increases_expression of,1410,CRYAB,gene/protein,Alzheimer disease
104300,Alzheimer disease,disease,increases_expression of,3315,HSPB1,gene/protein,Alzheimer disease
1410,CRYAB,gene/protein,decreases_phosphorylation of,4137,MAPT,gene/protein,Alzheimer disease
1410,CRYAB,gene/protein,decreases_phosphorylation of,GO:0005883,neurofilament,cellular component,Alzheimer disease
1410,CRYAB,gene/protein,decreases_expression of,2932,GSK3B,gene/protein,Alzheimer disease
104300,Alzheimer disease,disease,affects_activity of,GO:0000320,re-entry into mitotic cell cycle,process,Alzheimer disease
4171,pMCM2,protein modification,affects_activity of,MP:0003214,neurofibrillary tangles,phenotype,Alzheimer disease
4171,pMCM2,protein modification,affects_activity of,MP:0008415,abnormal neurite morphology,phenotype,Alzheimer disease
4171,pMCM2,protein modification,affects_activity of,104300,Alzheimer disease,disease,Alzheimer disease
29950,SERTAD1,gene/protein,increases_activity of,1019,CDK4,gene/protein,Alzheimer disease
351,Amyloid beta peptide,gene/protein,increases_expression of,29950,SERTAD1,gene/protein,Alzheimer disease
GO:0032902,nerve growth factor production,process,affects_expression of,29950,SERTAD1,gene/protein,Alzheimer disease
29950,SERTAD1,gene/protein,affects_activity of,GO:0006915,apoptotic process,process,Alzheimer disease
29950,SERTAD1,gene/protein,affects_activity of,GO:0070997,neuron death,process,Alzheimer disease
207,AKT1,gene/protein,increases_phosphorylation of,2932,GSK3B,gene/protein,Alzheimer disease
,increased AKT1 level,phenotype,cooccurs with,,increased MAPT level,phenotype,Alzheimer disease
,increased AKT1 level,phenotype,cooccurs with,,increased MAPT-phos level,phenotype,Alzheimer disease
,increased AKT-phosThr308 level,phenotype,cooccurs with,MP:0003214,neurofibrillary tangles,phenotype,Alzheimer disease
207,AKT1,gene/protein,affects_phosphorylation of,,GSK3,gene/protein,Alzheimer disease
207,AKT1,gene/protein,increases_quantity of,4137,MAPT-hyperphos,protein modification,Alzheimer disease
,A4 (novobiocin analogue),drug/chemical compound,decreases_activity of,351,Amyloid beta peptide,gene/protein,Alzheimer disease
3315,HSPB1,gene/protein,interacts (colocalizes) with,4137,MAPT-mod,protein modification,Alzheimer disease
2932,GSK3B,gene/protein,affects_phosphorylation of,4137,MAPT,gene/protein,Alzheimer disease
10273,STUB1,gene/protein,affects_ubiquitination/sumoylation of,4137,MAPT-phos,protein modification,Alzheimer disease
4137,MAPT-phos,protein modification,affects_activity of,GO:0008219,cell death,process,Alzheimer disease
10273,STUB1,gene/protein,decreases_activity of,GO:0008219,cell death,process,Alzheimer disease
1020,CDK5,gene/protein,affects_phosphorylation of,4137,MAPT,gene/protein,Alzheimer disease
6037,CHIP-HSC70 complex,complex/PPI,increases_ubiquitination/sumoylation of,4137,MAPT-phos,protein modification,Alzheimer disease
GO:0005874,microtubule,process,affects_dissociation of,4137,MAPT-phos,protein modification,Alzheimer disease
4137,MAPT-phos,protein modification,interacts (colocalizes) with,3312,HSPA8,gene/protein,Alzheimer disease
7322,UBE2D2,gene/protein,affects_ubiquitination/sumoylation of,4137,MAPT,gene/protein,Alzheimer disease
